Application Number,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3
Attribute,Calculated,Manual Uncertainty,TSUNAMI-IP,Relative Difference in Mean,Relative Difference in Manual Uncertainty,Calculated,Manual Uncertainty,TSUNAMI-IP,Relative Difference in Mean,Relative Difference in Manual Uncertainty,Calculated,Manual Uncertainty,TSUNAMI-IP,Relative Difference in Mean,Relative Difference in Manual Uncertainty
Experiment Number,,,,,,,,,,,,,,,
1,1.000E+00+/-1.71E-03,1.71E-03,1.000E+00+/-1.55E+00,3.3307E-15,9.9889E-01,9.983E-01+/-1.72E-03,1.72E-03,9.865E-01+/-1.32E+00,1.1973E-02,9.9870E-01,9.962E-01+/-1.72E-03,1.72E-03,9.541E-01+/-1.14E+00,4.4155E-02,9.9849E-01
2,9.983E-01+/-1.72E-03,1.72E-03,9.865E-01+/-1.32E+00,1.1973E-02,9.9870E-01,1.000E+00+/-1.74E-03,1.74E-03,1.000E+00+/-1.13E+00,2.7756E-15,9.9847E-01,9.993E-01+/-1.74E-03,1.74E-03,9.900E-01+/-9.75E-01,9.3604E-03,9.9821E-01
3,9.962E-01+/-1.72E-03,1.72E-03,9.541E-01+/-1.14E+00,4.4155E-02,9.9849E-01,9.993E-01+/-1.74E-03,1.74E-03,9.900E-01+/-9.75E-01,9.3604E-03,9.9821E-01,1.000E+00+/-1.75E-03,1.75E-03,1.000E+00+/-8.38E-01,3.2196E-15,9.9791E-01
